127,dessert,25.0,2.5
128,nature,27.5,2.5
129,snack,30.0,2.5
130,social,35.0,2.5
131,social,37.5,2.5
132,nature,42.5,2.5
133,nature,45.0,2.5
134,meal,55.0,2.5
135,snack,60.0,2.5
136,nature,62.5,2.5
137,social,67.5,2.5
138,social,70.0,2.5
139,social,80.0,2.5
140,nature,82.5,2.5
141,meal,87.5,2.5
142,snack,92.5,2.5
143,meal,95.0,2.5
144,nature,97.5,2.5
145,nature,102.5,2.5
146,nature,105.0,2.5
147,social,110.0,2.5
148,social,115.0,2.5
149,nature,117.5,2.5
150,nature,120.0,2.5
151,meal,125.0,2.5
152,nature,127.5,2.5
153,nature,132.5,2.5
154,social,135.0,2.5
155,social,140.0,2.5
156,meal,142.5,2.5
157,social,145.0,2.5
158,social,150.0,2.5
159,snack,152.5,2.5
160,social,167.5,2.5
161,nature,170.0,2.5
162,nature,175.0,2.5
163,nature,177.5,2.5
164,dessert,182.5,2.5
165,meal,185.0,2.5
166,social,187.5,2.5
167,social,192.5,2.5
168,nature,195.0,2.5
169,social,197.5,2.5
170,nature,202.5,2.5
171,dessert,205.0,2.5
172,meal,212.5,2.5
173,social,215.0,2.5
174,nature,220.0,2.5
175,nature,222.5,2.5
176,meal,225.0,2.5
177,social,230.0,2.5
178,nature,232.5,2.5
179,dessert,237.5,2.5
180,nature,240.0,2.5
181,dessert,245.0,2.5
182,nature,247.5,2.5
183,snack,252.5,2.5
184,social,255.0,2.5
185,nature,260.0,2.5
186,dessert,262.5,2.5
187,social,265.0,2.5
188,social,270.0,2.5
189,social,275.0,2.5
190,nature,277.5,2.5
191,nature,280.0,2.5
192,social,285.0,2.5
193,social,290.0,2.5
194,social,292.5,2.5
195,meal,297.5,2.5
196,nature,300.0,2.5
197,nature,302.5,2.5
198,nature,310.0,2.5
199,snack,315.0,2.5
200,nature,317.5,2.5
201,nature,320.0,2.5
202,meal,325.0,2.5
203,dessert,327.5,2.5
204,nature,335.0,2.5
205,meal,337.5,2.5
206,social,342.5,2.5
207,meal,345.0,2.5
208,nature,347.5,2.5
209,social,352.5,2.5
210,nature,355.0,2.5
211,snack,357.5,2.5
212,dessert,362.5,2.5
213,social,365.0,2.5
214,snack,367.5,2.5
215,dessert,372.5,2.5
216,social,385.0,2.5
217,nature,387.5,2.5
218,dessert,392.5,2.5
219,social,395.0,2.5
220,nature,400.0,2.5
221,nature,405.0,2.5
222,nature,407.5,2.5
223,snack,412.5,2.5
224,meal,417.5,2.5
225,social,420.0,2.5
226,nature,422.5,2.5
227,social,427.5,2.5
228,nature,430.0,2.5
229,nature,435.0,2.5
230,nature,437.5,2.5
231,nature,442.5,2.5
232,social,445.0,2.5
233,nature,450.0,2.5
234,meal,452.5,2.5
235,dessert,457.5,2.5
236,social,460.0,2.5
237,nature,462.5,2.5
238,dessert,465.0,2.5
239,social,470.0,2.5
240,nature,472.5,2.5
241,nature,477.5,2.5
242,social,480.0,2.5
243,social,482.5,2.5
244,nature,487.5,2.5
245,nature,492.5,2.5
246,social,495.0,2.5
247,meal,502.5,2.5
248,nature,505.0,2.5
249,meal,510.0,2.5
250,nature,512.5,2.5
251,social,515.0,2.5
252,social,522.5,2.5
253,dessert,525.0,2.5
254,nature,530.0,2.5
255,nature,532.5,2.5
256,nature,535.0,2.5
257,social,540.0,2.5
258,nature,542.5,2.5
259,social,547.5,2.5
260,snack,552.5,2.5
261,snack,562.5,2.5
262,social,567.5,2.5
263,snack,572.5,2.5
264,nature,577.5,2.5
265,nature,580.0,2.5
266,social,585.0,2.5
267,snack,587.5,2.5
268,nature,592.5,2.5
269,nature,595.0,2.5
270,snack,597.5,2.5
