"","subjectID","session","con","condition","control","xyz","roi","process","meanPE","sdPE","map","test","mask","dotProduct"
"14","RRV001","2","con_0002.nii","snack","rest","-9_3_-6","left VS","reward",0.360704,0.723088,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",-10139.4
"15","RRV001","2","con_0002.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.45506,0.525644,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",-10139.4
"16","RRV001","2","con_0002.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-1.04468,0.639956,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"17","RRV001","2","con_0002.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.377623,1.50787,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"18","RRV001","2","con_0002.nii","snack","rest","44_8_34","right MFG","cognitive_control",-0.508455,0.393225,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"19","RRV001","2","con_0002.nii","snack","rest","-42_7_36","left MFG","cognitive_control",1.33993,0.93278,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"20","RRV001","2","con_0002.nii","snack","rest","54_-44_43","right IPL","cognitive_control",0.286619,0.46326,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"21","RRV001","2","con_0002.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.47555,0.487908,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"22","RRV001","2","con_0002.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.234745,0.298849,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"23","RRV001","2","con_0002.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",1.63038,0.915306,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",5176.18
"24","RRV001","2","con_0002.nii","snack","rest","-6_49_1","left vmPFC","value",-2.24018,0.467575,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",-6776.48
"25","RRV001","all","con_0003.nii","snack","rest","9_3_-6","right VS","reward",-0.316627,1.38996,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28764.4
"26","RRV001","all","con_0003.nii","snack","rest","-9_3_-6","left VS","reward",1.76176,1.34979,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28764.4
"27","RRV001","all","con_0003.nii","snack","rest","-30_33_-18","left lOFC","reward",-0.601602,0.97802,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",28764.4
"28","RRV001","all","con_0003.nii","snack","rest","46_28_31","right dlPFC","cognitive_control",-1.41567,0.518775,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"29","RRV001","all","con_0003.nii","snack","rest","-44_27_33","left dlPFC","cognitive_control",-0.631327,1.88763,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"30","RRV001","all","con_0003.nii","snack","rest","44_8_34","right MFG","cognitive_control",-0.0452766,0.642373,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"31","RRV001","all","con_0003.nii","snack","rest","-42_7_36","left MFG","cognitive_control",2.76105,1.66427,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"32","RRV001","all","con_0003.nii","snack","rest","54_-44_43","right IPL","cognitive_control",1.2458,0.713284,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"33","RRV001","all","con_0003.nii","snack","rest","-53_-50_39","left IPL","cognitive_control",0.940011,0.900111,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"34","RRV001","all","con_0003.nii","snack","rest","32_-59_41","right IPS","cognitive_control",0.949311,0.421657,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"35","RRV001","all","con_0003.nii","snack","rest","-32_-58_46","left IPS","cognitive_control",2.90375,1.56116,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38349.8
"36","RRV001","all","con_0003.nii","snack","rest","-6_49_1","left vmPFC","value",-2.47331,0.946104,"value_uniformity-test_z_FDR_0.01","uniformity","unmasked",12058.8
"37","RRV001","1","con_0004.nii","meal","rest","9_3_-6","right VS","reward",0.507741,0.348507,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",41890.5
"38","RRV001","1","con_0004.nii","meal","rest","-9_3_-6","left VS","reward",0.682839,0.588898,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",41890.5
"39","RRV001","1","con_0004.nii","meal","rest","-30_33_-18","left lOFC","reward",-0.00863877,0.255201,"reward_uniformity-test_z_FDR_0.01","uniformity","unmasked",41890.5
"40","RRV001","1","con_0004.nii","meal","rest","46_28_31","right dlPFC","cognitive_control",-0.163065,0.366892,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"41","RRV001","1","con_0004.nii","meal","rest","-44_27_33","left dlPFC","cognitive_control",0.210209,0.472231,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"42","RRV001","1","con_0004.nii","meal","rest","44_8_34","right MFG","cognitive_control",1.02151,0.596946,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"43","RRV001","1","con_0004.nii","meal","rest","-42_7_36","left MFG","cognitive_control",2.00217,1.26846,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
"44","RRV001","1","con_0004.nii","meal","rest","54_-44_43","right IPL","cognitive_control",0.715523,0.370275,"cognitive_control_uniformity-test_z_FDR_0.01","uniformity","unmasked",38688.2
